temperature,humidity,ph,rainfall,crop
20,80,6.5,200,Rice
27,60,7.0,150,Wheat
30,70,6.0,180,Maize
25,65,7.5,80,Cotton
35,75,6.8,250,Sugarcane
22,55,6.2,120,Soybean
28,50,7.2,60,Millet
18,85,5.5,220,Rice
24,70,6.8,160,Wheat
32,68,6.3,190,Maize
26,62,7.8,70,Cotton
38,80,6.9,280,Sugarcane
20,52,6.0,130,Soybean
29,48,7.0,55,Millet
21,82,6.7,210,Rice
25,58,7.1,140,Wheat
31,72,5.8,175,Maize
24,60,7.6,85,Cotton
36,78,7.0,260,Sugarcane
19,53,6.1,125,Soybean
30,45,7.3,50,Millet
22,88,6.4,230,Rice
26,63,6.9,155,Wheat
33,65,6.2,185,Maize
23,67,7.4,75,Cotton
37,76,6.7,270,Sugarcane
21,58,5.9,115,Soybean
27,47,7.1,65,Millet
19,84,6.6,215,Rice
28,61,7.2,145,Wheat
34,69,6.1,195,Maize
25,64,7.7,90,Cotton
39,77,6.8,290,Sugarcane
23,56,6.3,135,Soybean
26,49,7.4,70,Millet
17,86,6.3,205,Rice
23,59,6.8,135,Wheat
29,71,5.7,170,Maize
27,66,7.9,95,Cotton
40,82,7.1,300,Sugarcane
18,54,5.8,110,Soybean
31,46,7.5,45,Millet
20,87,6.9,225,Rice
24,57,7.3,165,Wheat
35,73,6.4,200,Maize
22,61,7.2,65,Cotton
33,74,6.5,240,Sugarcane
25,60,6.5,140,Soybean
28,51,6.8,75,Millet
23,83,7.0,195,Rice
27,62,6.7,170,Wheat
30,66,5.9,160,Maize
21,59,7.6,100,Cotton
36,79,7.2,265,Sugarcane
24,57,6.4,145,Soybean
32,44,7.0,40,Millet
16,90,6.2,240,Rice
22,64,7.4,130,Wheat
28,67,6.0,175,Maize
26,63,8.0,110,Cotton
41,83,6.6,310,Sugarcane
19,50,5.7,105,Soybean
33,42,7.6,35,Millet
